Parent,SKU,Selling Price,UOM,Item Description,Brand Name,Color,Size, Primary Style,Department,Category,Item Type,Sub-Category,Sub-Category 2,Generation,Collar Type,Sleeves Type,Placket Type,Placket Shape,Pocket Shape ,Collocation Name,Consignment,Trnas ID
,2020,,Piece,Thobe - Rethobe - White - Men - 2020 - 53S,Rethobe,White,53S,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,EC2CC0C9-4B8C-03AA-5AD1-82A13A868652
2020,11100015312020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 53S,Rethobe,White,53S,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,0A25537C-9B35-860A-9654-C81E5B180038
2020,11100015322020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 53M,Rethobe,White,53M,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,327C9481-698A-E8D7-63EA-5FB589AD1BF7
2020,11100015332020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 53L,Rethobe,White,53L,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,7398083C-6DB0-8FE2-8883-7F51846026F2
2020,11100015342020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 53XL,Rethobe,White,53XL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,D9DDBD1F-59E7-0EA8-0300-101481D745A6
2020,11100015412020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 54S,Rethobe,White,54S,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,BD320000-E501-B8D3-0D55-B27985E44E36
2020,11100015422020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 54M,Rethobe,White,54M,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,59563F1A-51E7-C796-606D-BE8DAC7DA01E
2020,11100015432020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 54L,Rethobe,White,54L,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,1A9C0EA7-B27A-62F8-B3CC-EE227279821C
2020,11100015442020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 54XL,Rethobe,White,54XL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,F6B74FC8-1939-20E6-446D-F8955DAADBE8
2020,11100015512020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 55S,Rethobe,White,55S,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,F33EED69-439B-AA94-9048-FB4096B07C9A
2020,11100015522020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 55M,Rethobe,White,55M,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,04D2A8CC-8590-0EB1-4E7E-8113A040BD04
2020,11100015532020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 55L,Rethobe,White,55L,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,E919BA2F-C322-7C5D-E2E5-996F15149B1A
2020,11100015542020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 55XL,Rethobe,White,55XL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,E4D97D9B-F601-0B2B-FA18-8AEDC5C1B851
2020,11100015612020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 56S,Rethobe,White,56S,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,6AB761DC-C340-0FD3-935E-DA6422D73987
2020,11100015622020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 56M,Rethobe,White,56M,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,7E420FA3-78B2-A093-F069-2A2A60185AF6
2020,11100015632020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 56L,Rethobe,White,56L,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,6DBE1D5E-BF3B-F4FF-B94C-09B602C4FC2B
2020,11100015642020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 56XL,Rethobe,White,56XL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,C6C9B199-5F29-6BC8-28B7-F5FCCBE135EE
2020,11100015652020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 56XXL,Rethobe,White,56XXL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,996DE020-41FF-5E35-0A4C-E522230EBD1D
2020,11100015712020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 57S,Rethobe,White,57S,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,858EA16E-0160-54B8-3E74-63DBB2866787
2020,11100015722020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 57M,Rethobe,White,57M,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,928C795A-2AE1-B848-9A9E-6DBFA4016B2B
2020,11100015732020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 57L,Rethobe,White,57L,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,B0666B57-79F2-1688-8C15-2F4E133B4841
2020,11100015742020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 57XL,Rethobe,White,57XL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,20FCCFC9-04D6-35A6-F900-F44F59F1194F
2020,11100015752020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 57XXL,Rethobe,White,57XXL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,D78D94F4-C419-897A-B82F-88EB22566D2E
2020,11100015812020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 58S,Rethobe,White,58S,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,9E5602A3-B1B6-DC3E-4B4E-0ACE83883FCB
2020,11100015822020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 58M,Rethobe,White,58M,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,F04C204F-734D-D742-DED2-427BEA463A9C
2020,11100015832020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 58L,Rethobe,White,58L,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,77D5C555-2128-810E-854F-4E97A66F98FB
2020,11100015842020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 58XL,Rethobe,White,58XL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,105D1806-74E9-1463-2C5B-699C8EC330E9
2020,11100015852020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 58XXL,Rethobe,White,58XXL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,609348F9-EF28-DDD7-28F1-21710CD183C2
2020,11100015912020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 59S,Rethobe,White,59S,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,FDDC209C-B7F5-E58F-AB39-7B1B1E7F8F9F
2020,11100015922020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 59M,Rethobe,White,59M,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,ED94C63E-9F97-B082-E1AD-8575CEF769E4
2020,11100015932020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 59L,Rethobe,White,59L,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,0806E420-62D0-E240-5944-AFB8CB1CA2CA
2020,11100015942020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 59XL,Rethobe,White,59XL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,08640D8E-443C-E144-198C-1C5FAA673D95
2020,11100015952020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 59XXL,Rethobe,White,59XXL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,29F177BA-01B0-02D0-BC6B-E360E4FB1F18
2020,11100016012020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 60S,Rethobe,White,60S,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,4B758047-1364-EE32-F26A-227246D27C56
2020,11100016022020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 60M,Rethobe,White,60M,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,06661A6A-4510-030C-C0C8-D862C09B6507
2020,11100016032020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 60L,Rethobe,White,60L,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,E8772844-1114-43C4-496A-5789FC4637B6
2020,11100016042020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 60XL,Rethobe,White,60XL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,F2E07162-B239-87ED-B634-6BE63E383B85
2020,11100016052020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 60XXL,Rethobe,White,60XXL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,0CCC98D6-06F0-E74E-153F-7266706C4A4B
2020,11100016062020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 60XXXL,Rethobe,White,60XXXL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,6A17FECF-4D40-52B8-6B6D-549873E47B16
2020,11100016122020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 61M,Rethobe,White,61M,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,DD3CC080-2CDC-0C0E-C50D-97C68DE2AA3E
2020,11100016132020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 61L,Rethobe,White,61L,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,C234C853-5395-2777-8FC0-EE7E7663843C
2020,11100016142020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 61XL,Rethobe,White,61XL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,83403A04-96C3-C7A7-4C2E-96EA50DF072F
2020,11100016152020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 61XXL,Rethobe,White,61XXL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,B0BD29DC-5A55-C521-89E5-FF0CAE333251
2020,11100016232020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 62L,Rethobe,White,62L,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,B22F14FC-0504-9D3C-57DA-459DCF6A6B54
2020,11100016242020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 62XL,Rethobe,White,62XL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,98B72A2C-18C7-5EB9-11C1-5224AF14E6BE
2020,11100016252020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 62XXL,Rethobe,White,62XXL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,A82758D7-C14C-6ACB-7FA7-7A3727376F23
2020,11100016262020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 62XXXL,Rethobe,White,62XXXL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,49627833-3624-D7D1-0C25-8F2C7851A7B9
2020,11100016432020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 64L,Rethobe,White,64L,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,0CFB64A1-3BE1-2C6B-2B9A-A151E0831884
2020,11100016442020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 64XL,Rethobe,White,64XL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,C2112CA0-FB6D-7CAD-A375-7D9B771DE03F
2020,11100016452020,219,Piece,Thobe - Rethobe - White - Men - 2020 - 64XXL,Rethobe,White,64XXL,2020,Apparel,Thobe,Thobe,Rethobe,Fashion,Men,Others,Others,Others,Others,Others,Ramadan,Non Consignment,DA64E7A5-43FD-C828-8733-8B25E1AF880A