ID,Parent SKU,SKU,Short description,Regular price,Parent cat,Sub cat,size, generation,Color, Prime style,Collection name|,Consignment,Pocket shape   ,Placket shape,Placket Type,Sleeves type,Item type,Collar type 
,,#1qazXSW@,ري ثواب ابيض للشباب و الاطفال,,الثياب,ري ثوب,,,,,,,,,,,,
,#1qazXSW@,8053889,ثوب - ري ثوب - ابيض - ولادي - 32M - 2218,140,الثياب,ري ثوب,32M,اطفال,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053890,ثوب - ري ثوب - ابيض - ولادي - 32S - 2218,170,الثياب,ري ثوب,32S,اطفال,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053891,ثوب - ري ثوب - ابيض - ولادي - 34M - 2218,170,الثياب,ري ثوب,34M,اطفال,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053892,ثوب - ري ثوب - ابيض - ولادي - 34S - 2218,140,الثياب,ري ثوب,34S,اطفال,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053893,ثوب - ري ثوب - ابيض - ولادي - 35S - 2218,170,الثياب,ري ثوب,35S,اطفال,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053894,ثوب - ري ثوب - ابيض - ولادي - 36M - 2218,140,الثياب,ري ثوب,36M,اطفال,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053895,ثوب - ري ثوب - ابيض - ولادي - 36S - 2218,170,الثياب,ري ثوب,36S,اطفال,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053896,ثوب - ري ثوب - ابيض - ولادي - 37M - 2218,140,الثياب,ري ثوب,37M,اطفال,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053897,ثوب - ري ثوب - ابيض - ولادي - 37S - 2218,140,الثياب,ري ثوب,37S,اطفال,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053898,ثوب - ري ثوب - ابيض - ولادي - 38M - 2218,170,الثياب,ري ثوب,38M,اطفال,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053899,ثوب - ري ثوب - ابيض - ولادي - 38S - 2218,170,الثياب,ري ثوب,38S,اطفال,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053900,ثوب - ري ثوب - ابيض - ولادي - 39M - 2218,170,الثياب,ري ثوب,39M,اطفال,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053901,ثوب - ري ثوب - ابيض - ولادي - 39S - 2218,140,الثياب,ري ثوب,39S,اطفال,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053902,ثوب - ري ثوب - ابيض - ولادي - 40M - 2218,170,الثياب,ري ثوب,40M,اطفال,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053903,ثوب - ري ثوب - ابيض - ولادي - 40S - 2218,170,الثياب,ري ثوب,40S,اطفال,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053904,ثوب - ري ثوب - ابيض - شباب - 41M - 2218,195,الثياب,ري ثوب,41M,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053905,ثوب - ري ثوب - ابيض - شباب - 41S - 2218,195,الثياب,ري ثوب,41S,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053906,ثوب - ري ثوب - ابيض - شباب - 42M - 2218,195,الثياب,ري ثوب,42M,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053907,ثوب - ري ثوب - ابيض - شباب - 42S - 2218,195,الثياب,ري ثوب,42S,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053908,ثوب - ري ثوب - ابيض - شباب - 43M - 2218,160,الثياب,ري ثوب,43M,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053909,ثوب - ري ثوب - ابيض - شباب - 43S - 2218,160,الثياب,ري ثوب,43S,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053910,ثوب - ري ثوب - ابيض - شباب - 44M - 2218,195,الثياب,ري ثوب,44M,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053911,ثوب - ري ثوب - ابيض - شباب - 44S - 2218,195,الثياب,ري ثوب,44S,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053912,ثوب - ري ثوب - ابيض - شباب - 45M - 2218,195,الثياب,ري ثوب,45M,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053913,ثوب - ري ثوب - ابيض - شباب - 45S - 2218,195,الثياب,ري ثوب,45S,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053914,ثوب - ري ثوب - ابيض - شباب - 46M - 2218,160,الثياب,ري ثوب,46M,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053915,ثوب - ري ثوب - ابيض - شباب - 46S - 2218,160,الثياب,ري ثوب,46S,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053916,ثوب - ري ثوب - ابيض - شباب - 47M - 2218,160,الثياب,ري ثوب,47M,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053917,ثوب - ري ثوب - ابيض - شباب - 47S - 2218,160,الثياب,ري ثوب,47S,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053918,ثوب - ري ثوب - ابيض - شباب - 48L - 2218,160,الثياب,ري ثوب,48L,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053919,ثوب - ري ثوب - ابيض - شباب - 48M - 2218,160,الثياب,ري ثوب,48M,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053920,ثوب - ري ثوب - ابيض - شباب - 48S - 2218,160,الثياب,ري ثوب,48S,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053921,ثوب - ري ثوب - ابيض - شباب - 48XL - 2218,160,الثياب,ري ثوب,48XL,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053922,ثوب - ري ثوب - ابيض - شباب - 49S - 2218,195,الثياب,ري ثوب,49S,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053923,ثوب - ري ثوب - ابيض - شباب - 49XL - 2218,195,الثياب,ري ثوب,49XL,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053924,ثوب - ري ثوب - ابيض - شباب - 50L - 2218,195,الثياب,ري ثوب,50L,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053925,ثوب - ري ثوب - ابيض - شباب - 50M - 2218,160,الثياب,ري ثوب,50M,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053926,ثوب - ري ثوب - ابيض - شباب - 50S - 2218,195,الثياب,ري ثوب,50S,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053927,ثوب - ري ثوب - ابيض - شباب - 50XL - 2218,160,الثياب,ري ثوب,50XL,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053928,ثوب - ري ثوب - ابيض - شباب - 51S - 2218,195,الثياب,ري ثوب,51S,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053929,ثوب - ري ثوب - ابيض - شباب - 51XL - 2218,195,الثياب,ري ثوب,51XL,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053930,ثوب - ري ثوب - ابيض - شباب - 52L - 2218,195,الثياب,ري ثوب,52L,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053931,ثوب - ري ثوب - ابيض - شباب - 52M - 2218,195,الثياب,ري ثوب,52M,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى
,#1qazXSW@,8053932,ثوب - ري ثوب - ابيض - شباب - 52S - 2218,195,الثياب,ري ثوب,52S,شباب,أبيض,2218,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,ثوب,اخرى